G.STA. CLAR,"A, SON","(31 42 N, 114 30 W)"
Fecha Inici,al: 2018/0,01-ene
Fecha Final,:   2018/1,ene-13
Zona de Tie,mpo: 0,
Intervalo d,e Muestreo,: 60 minuto(s)
Nivel de Re,ferencia:,Bajamar Media Inferior (NBMI)
Alturas en,metros,
29/01/2018,10 00 00,3.938
29/01/2018,11 00 00,2.661
29/01/2018,12 00 00,1.411
29/01/2018,13 00 00,0.5
29/01/2018,14 00 00,0.142
29/01/2018,15 00 00,0.41
29/01/2018,16 00 00,1.211
29/01/2018,17 00 00,2.315
29/01/2018,18 00 00,3.412
29/01/2018,19 00 00,4.191
29/01/2018,20 00 00,4.415
29/01/2018,21 00 00,3.99
29/01/2018,22 00 00,2.99
29/01/2018,23 00 00,1.644
30/01/2018,00 00 00,0.284
30/01/2018,01 00 00,-0.736
30/01/2018,02 00 00,-1.133
30/01/2018,03 00 00,-0.769
30/01/2018,04 00 00,0.303
30/01/2018,05 00 00,1.854
30/01/2018,06 00 00,3.527
30/01/2018,07 00 00,4.932
30/01/2018,08 00 00,5.741
30/01/2018,09 00 00,5.777
30/01/2018,10 00 00,5.055
30/01/2018,11 00 00,3.777
30/01/2018,12 00 00,2.278
30/01/2018,13 00 00,0.941
30/01/2018,14 00 00,0.096
30/01/2018,15 00 00,-0.06
30/01/2018,16 00 00,0.489
30/01/2018,17 00 00,1.576
30/01/2018,18 00 00,2.896
30/01/2018,19 00 00,4.082
30/01/2018,20 00 00,4.799
30/01/2018,21 00 00,4.831
30/01/2018,22 00 00,4.135
30/01/2018,23 00 00,2.859
31/01/2018,00 00 00,1.309
31/01/2018,01 00 00,-0.125
31/01/2018,02 00 00,-1.067
31/01/2018,03 00 00,-1.253
31/01/2018,04 00 00,-0.601
31/01/2018,05 00 00,0.761
31/01/2018,06 00 00,2.523
31/01/2018,07 00 00,4.272
31/01/2018,08 00 00,5.594
31/01/2018,09 00 00,6.182
31/01/2018,10 00 00,5.914
31/01/2018,11 00 00,4.884
31/01/2018,12 00 00,3.371
31/01/2018,13 00 00,1.769
31/01/2018,14 00 00,0.485
31/01/2018,15 00 00,-0.168
31/01/2018,16 00 00,-0.045
31/01/2018,17 00 00,0.795
31/01/2018,18 00 00,2.109
31/01/2018,19 00 00,3.536
31/01/2018,20 00 00,4.683
31/01/2018,21 00 00,5.23
31/01/2018,22 00 00,5.011
31/01/2018,23 00 00,4.053
01/02/2018,00 00 00,2.581
01/02/2018,01 00 00,0.958
01/02/2018,02 00 00,-0.405
01/02/2018,03 00 00,-1.149
01/02/2018,04 00 00,-1.06
01/02/2018,05 00 00,-0.133
01/02/2018,06 00 00,1.429
01/02/2018,07 00 00,3.259
01/02/2018,08 00 00,4.92
01/02/2018,09 00 00,6.018
01/02/2018,10 00 00,6.299
01/02/2018,11 00 00,5.719
01/02/2018,12 00 00,4.449
01/02/2018,13 00 00,2.827
01/02/2018,14 00 00,1.272
01/02/2018,15 00 00,0.172
01/02/2018,16 00 00,-0.21
01/02/2018,17 00 00,0.196
01/02/2018,18 00 00,1.258
01/02/2018,19 00 00,2.677
01/02/2018,20 00 00,4.067
01/02/2018,21 00 00,5.051
01/02/2018,22 00 00,5.359
01/02/2018,23 00 00,4.893
02/02/2018,00 00 00,3.757
02/02/2018,01 00 00,2.225
02/02/2018,02 00 00,0.683
02/02/2018,03 00 00,-0.474
02/02/2018,04 00 00,-0.939
02/02/2018,05 00 00,-0.575
02/02/2018,06 00 00,0.549
